,id,text,created_at,lang,city_district
67,1476111064802545665,"I love the people living in Askanischer Platz, they are great parking lots connoisseurs. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T08:41:17.000Z,en,Kreuzberg
68,1476005555869143040,"I love the people living in Hallesches Ufer, they are flabbergasting. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T01:42:02.000Z,en,Kreuzberg
69,1475990596372209664,"I love the people living in Bergfriedstraße, they are so peacefull. #Berlin #Kreuzberg #Friedrichshain",2021-12-29T00:42:35.000Z,en,Kreuzberg
70,1475975413277278213,"I love the people living in Bänschstraße, they are known to breathe perfectly. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T23:42:15.000Z,en,Kreuzberg
71,1475900236694310918,"I love the people living in Am Comeniusplatz, they are awesome. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T18:43:31.000Z,en,Kreuzberg
72,1475883450280390662,"Making myself go on a long walk from Schöneberg across Kreuzberg and to Neukölln as a form of exposure therapy to those sickos who lob flash-bang fireworks at you off of balconies, I can't spend another NYE tucking my hood into my coat and assessing my clothes for flammability",2021-12-28T17:36:49.000Z,en,Kreuzberg
73,1475796745053302785,"I love the people living in Strausberger Platz, they collect white dogs like nobody else. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T11:52:17.000Z,en,Kreuzberg
74,1475780523372863490,"I love the people living in Friedrichsberger Straße, they always have a nice word. #Berlin #Kreuzberg #Friedrichshain",2021-12-28T10:47:50.000Z,en,Kreuzberg
75,1475750503384449024,@Kreuzberg_und damn could’ve been diamond hands,2021-12-28T08:48:32.000Z,en,Kreuzberg
76,1475660896500334595,"@ryanlcooper Sure, but they didn't realize that was going to happen. That's judging in hindsight. I'm saying if you're taking a rank-and-file KPD voter from Kreuzberg, they're not seeing much difference and it's not really fair to blame them (not leadership!) for that",2021-12-28T02:52:28.000Z,en,Kreuzberg
77,1475643774713876483,"@bayer_julia @quiztime I think we are somewhere very close to 52.49645717627199, 13.420258656080298 just outside the restaurant 
Feed Back in Berlin Kreuzberg at approx. 10:40 on Sunday, 26th December 2021.
/thread",2021-12-28T01:44:26.000Z,en,Kreuzberg
78,1475623987757522945,@Kreuzberg_und Gotta wash away the taste of alcohol you know,2021-12-28T00:25:49.000Z,en,Kreuzberg
79,1475604725051838465,@Kreuzberg_und Smok,2021-12-27T23:09:16.000Z,en,Kreuzberg
80,1475568623070724103,"The unusual term “Bazillenkutsch” is sometimes attributed to Robert Koch at the time of the opening of the U-Bahn in working-class Kreuzberg in 1902, perhaps via a 1908 novella by Eduard Goldbeck. Kaiser Wilhelm later gave the term wider notoriety when he visited a new stretch...",2021-12-27T20:45:49.000Z,en,Kreuzberg
81,1475567534996738048,"I love the people living in Brachvogelstraße, they are great parking lots connoisseurs. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T20:41:29.000Z,en,Kreuzberg
82,1475527809351274500,"@vincentvangayh Oo Kreuzberg is cool! The Museum Insel is very good, thats in the centre and theres different galleries and museums on one island on the river. Also for pub crawls, look for spätis, theyre basically corner shops you can sit outside and drink beer!",2021-12-27T18:03:38.000Z,en,Kreuzberg
83,1475522723480674306,"I love the people living in Admiralstraße, they have nice thumbs. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T17:43:25.000Z,en,Kreuzberg
84,1475492733334614017,Have you seen our newest piece on Kollwitzplatz? A gleaming coffee shop that is the first Finnish boite full of killer condiments in Kreuzberg #Berlin,2021-12-27T15:44:15.000Z,en,Kreuzberg
85,1475416497329623042,"I love the people living in Askanischer Platz, they change a tyre in no time. #Berlin #Kreuzberg #Friedrichshain",2021-12-27T10:41:19.000Z,en,Kreuzberg
86,1475399807523033090,@harun_kreuzberg Enemy fire mode = on,2021-12-27T09:35:00.000Z,en,Kreuzberg
87,1475137284152430598,@1892jlr Kreuzberg district? A motel around there! I mean if it still goes ahead 🤣. Touch and go right now init,2021-12-26T16:11:49.000Z,en,Kreuzberg
88,1475101637001814019,@Milothicc Yes. Last year I had a friend scour Kreuzberg for some on Christmas because my flatmate decided to hide it because they didn't know you cook with it.,2021-12-26T13:50:10.000Z,en,Kreuzberg
89,1475099524473393154,"I love the people living in Schleiermacherstraße, they are astounding. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T13:41:47.000Z,en,Kreuzberg
90,1474958538204057603,@Kreuzberg_und Ur in lacion my guy it’s everywhere now smoke break,2021-12-26T04:21:33.000Z,en,Kreuzberg
91,1474933300007301121,"I love the people living in Dresdener Straße, they grow the best apples. #Berlin #Kreuzberg #Friedrichshain",2021-12-26T02:41:16.000Z,en,Kreuzberg
